file_id,cluster
file_0_chunk_0_level_0,12
file_0_chunk_1_level_0,12
file_0_chunk_2_level_0,1
file_0_chunk_3_level_0,20
file_0_chunk_4_level_0,3
file_0_chunk_5_level_0,10
file_0_chunk_6_level_0,10
file_0_chunk_7_level_0,14
file_0_chunk_8_level_0,1
file_0_chunk_9_level_0,20
file_0_chunk_10_level_0,1
file_0_chunk_11_level_0,12
file_0_chunk_12_level_0,12
file_0_chunk_13_level_0,7
file_0_chunk_14_level_0,7
file_0_chunk_15_level_0,5
file_0_chunk_16_level_0,7
file_0_chunk_17_level_0,7
file_0_chunk_18_level_0,10
file_0_chunk_19_level_0,10
file_0_chunk_20_level_0,1
file_0_chunk_21_level_0,10
file_0_chunk_22_level_0,10
file_0_chunk_23_level_0,10
file_0_chunk_24_level_0,12
file_0_chunk_25_level_0,12
file_0_chunk_26_level_0,12
file_0_chunk_27_level_0,12
file_0_chunk_28_level_0,12
file_0_chunk_29_level_0,1
file_0_chunk_30_level_0,7
file_0_chunk_31_level_0,20
file_1_chunk_0_level_0,21
file_1_chunk_1_level_0,2
file_1_chunk_2_level_0,16
file_1_chunk_3_level_0,0
file_1_chunk_4_level_0,16
file_1_chunk_5_level_0,16
file_1_chunk_6_level_0,6
file_1_chunk_7_level_0,0
file_1_chunk_8_level_0,17
file_1_chunk_9_level_0,9
file_1_chunk_10_level_0,14
file_1_chunk_11_level_0,13
file_1_chunk_12_level_0,0
file_1_chunk_13_level_0,8
file_1_chunk_14_level_0,18
file_1_chunk_15_level_0,8
file_1_chunk_16_level_0,18
file_1_chunk_17_level_0,5
file_1_chunk_18_level_0,5
file_1_chunk_19_level_0,5
file_1_chunk_20_level_0,5
file_1_chunk_21_level_0,18
file_1_chunk_22_level_0,5
file_1_chunk_23_level_0,18
file_1_chunk_24_level_0,21
file_1_chunk_25_level_0,4
file_1_chunk_26_level_0,16
file_1_chunk_27_level_0,9
file_1_chunk_28_level_0,5
file_1_chunk_29_level_0,5
file_1_chunk_30_level_0,8
file_1_chunk_31_level_0,8
file_1_chunk_32_level_0,9
file_1_chunk_33_level_0,4
file_1_chunk_34_level_0,6
file_1_chunk_35_level_0,17
file_1_chunk_36_level_0,17
file_1_chunk_37_level_0,17
file_1_chunk_38_level_0,19
file_1_chunk_39_level_0,17
file_1_chunk_40_level_0,6
file_1_chunk_41_level_0,8
file_1_chunk_42_level_0,15
file_1_chunk_43_level_0,9
file_1_chunk_44_level_0,8
file_1_chunk_45_level_0,21
file_1_chunk_46_level_0,13
file_1_chunk_47_level_0,2
file_1_chunk_48_level_0,19
file_1_chunk_49_level_0,13
file_1_chunk_50_level_0,13
file_1_chunk_51_level_0,2
file_1_chunk_52_level_0,4
file_1_chunk_53_level_0,13
file_1_chunk_54_level_0,6
file_1_chunk_55_level_0,2
file_1_chunk_56_level_0,11
file_1_chunk_57_level_0,19
file_1_chunk_58_level_0,16
file_1_chunk_59_level_0,14
file_1_chunk_60_level_0,16
file_1_chunk_61_level_0,3
file_1_chunk_62_level_0,3
file_1_chunk_63_level_0,3
file_1_chunk_64_level_0,11
file_1_chunk_65_level_0,3
file_1_chunk_66_level_0,5
file_1_chunk_67_level_0,11
file_1_chunk_68_level_0,3
file_1_chunk_69_level_0,11
file_1_chunk_70_level_0,2
file_1_chunk_71_level_0,17
file_1_chunk_72_level_0,2
file_1_chunk_73_level_0,17
